Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
23-05-2018 05:45,9655,9676.3,9634.1,9634.1,2301
23-05-2018 06:45,9634.05,9640,9634,9639.95,1554
23-05-2018 07:45,9639.55,9640,9634,9635.1,4474
23-05-2018 08:45,9636,9643,9619.75,9642,10063
23-05-2018 09:45,9637.5,9666,9634,9641.3,4385
24-05-2018 03:45,9678.3,9710.4,9631.45,9690,7153
24-05-2018 04:45,9693,9700,9669.7,9699,2326
24-05-2018 05:45,9699,9699,9644.8,9654.7,3305
24-05-2018 06:45,9654.7,9664.9,9640,9658.95,2139
24-05-2018 07:45,9655,9669.35,9652.45,9660,1147
24-05-2018 08:45,9659.5,9680,9656,9665,9721
24-05-2018 09:45,9664.95,9670,9657.45,9665.35,3573
25-05-2018 03:45,9681.35,9699,9637.55,9689.85,4065
25-05-2018 04:45,9699.8,9799,9685,9790,7791
25-05-2018 05:45,9791.75,9791.75,9687,9734.3,4091
25-05-2018 06:45,9731.8,9749.9,9711.2,9733.35,2011
25-05-2018 07:45,9731.8,9731.95,9720,9724,1187
25-05-2018 08:45,9722,9747.65,9698.25,9736.4,6532
25-05-2018 09:45,9739.75,9748.9,9710.35,9711,4824
28-05-2018 03:45,9729,9769,9729,9752.75,5836
28-05-2018 04:45,9748.3,9775,9744.85,9759,5629
28-05-2018 05:45,9759,9759.65,9745,9748.7,2507
28-05-2018 06:45,9733.6,9744.9,9676.85,9679,6508
28-05-2018 07:45,9678.8,9683,9670,9682.05,3824
28-05-2018 08:45,9671,9679.05,9651.4,9666.3,7570
28-05-2018 09:45,9661,9664,9641,9659.05,4787
29-05-2018 03:45,9649,9649,9557,9559,8289
29-05-2018 04:45,9561.55,9583.75,9560.05,9571.1,3910
29-05-2018 05:45,9565,9568.85,9500,9504.55,6862
29-05-2018 06:45,9504,9545.65,9480,9527.25,5266
29-05-2018 07:45,9534.35,9536.5,9500,9508.5,5438
29-05-2018 08:45,9505.45,9521.05,9495,9520,10073
29-05-2018 09:45,9516.2,9525.8,9510,9512.3,3995
30-05-2018 03:45,9565.1,9604.9,9501.4,9543.75,14202
30-05-2018 04:45,9542.35,9550,9517.6,9537.55,6801
30-05-2018 05:45,9533.05,9554.5,9530.1,9531.6,3738
30-05-2018 06:45,9531.65,9551.5,9501.5,9530,5472
30-05-2018 07:45,9530.65,9545,9513.7,9530,3616
30-05-2018 08:45,9530.15,9549.05,9525.2,9530.1,16424
30-05-2018 09:45,9535.9,9543.45,9509.9,9530.05,8809
31-05-2018 03:45,9559.05,9639.55,9559.05,9619.9,14184
31-05-2018 04:45,9618,9666,9613.25,9634,8363
31-05-2018 05:45,9634,9634,9604.75,9630.25,13630
31-05-2018 06:45,9628.85,9710,9626.45,9709.45,7052
31-05-2018 07:45,9714.4,9770.5,9714.4,9767,11162
31-05-2018 08:45,9769.95,9798.95,9602.95,9649.65,54473
31-05-2018 09:45,9647.55,9690,9635.85,9654,40717
01-06-2018 03:45,9680.05,9898,9680.05,9848.8,27123
01-06-2018 04:45,9848.8,9866.8,9838.2,9860,6809
01-06-2018 05:45,9860,9875.6,9809.15,9816,5482
01-06-2018 06:45,9815.7,9995,9815.45,9931.4,40841
01-06-2018 07:45,9940,9940,9905.05,9916,22628
01-06-2018 08:45,9916,9944.2,9895.4,9910,35803
01-06-2018 09:45,9900,9905.9,9885.05,9890,7897
04-06-2018 03:45,9999.85,9999.85,9875,9920.95,11543
04-06-2018 04:45,9921.05,9958,9909.5,9957.7,4612
04-06-2018 05:45,9956.6,9956.6,9897.3,9933.4,3455
04-06-2018 06:45,9940,9941.3,9906,9930,1720
04-06-2018 07:45,9925,9927.8,9868,9886.95,3589
04-06-2018 08:45,9878.3,9900,9782,9825,7959
04-06-2018 09:45,9828,9850,9817,9817,3936
05-06-2018 03:45,9819.8,9831.05,9715.25,9744.95,13381
05-06-2018 04:45,9744.95,9750.25,9649.95,9669.3,8171
05-06-2018 05:45,9664.05,9707.5,9640,9680.8,3989
05-06-2018 06:45,9685,9703,9663.65,9693,4101
05-06-2018 07:45,9682.3,9691,9625,9632,4942
05-06-2018 08:45,9631,9631,9490,9523,19900
05-06-2018 09:45,9521.2,9590,9521.2,9535.65,7561
06-06-2018 03:45,9590,9753,9580.7,9738,10657
06-06-2018 04:45,9738,9748,9700.05,9717,3566
06-06-2018 05:45,9713.05,9796,9713.05,9796,3672
06-06-2018 06:45,9793.5,9793.5,9715,9727,6187
06-06-2018 07:45,9727,9727,9701.7,9713.4,5698
06-06-2018 08:45,9713.4,9775.05,9712.8,9757,6183
06-06-2018 09:45,9755,9779.9,9743.45,9760.35,2529
07-06-2018 03:45,9786.65,9822,9730.2,9745.05,9516
07-06-2018 04:45,9744.7,9784.5,9741.5,9763.85,5672
07-06-2018 05:45,9764.05,9793.9,9761,9771.5,4025
07-06-2018 06:45,9779.95,9789.95,9761.95,9767.15,4937
